sentence;type;entities
Không lấy loa trừ tiền và đổi Nokia 7 plus còn BH từ cellphone được không?;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:Không lấy loa
Ko lấy loa có được - tiền ko;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:Ko lấy loa
Huawei p20 pro còn hàng ko b;hoi_con_hang;PHONE:Huawei p20 pro
Hết Hàng huawei p20 rồi à shop;hoi_con_hang;PHONE:huawei p20
P20 pro có trống nước ko anh;hoi_phan_cung;IS_WATER_PROTECTED:có trống nước|PHONE:P20 pro
Giá của em này bao nhiêu ạ;hoi_gia;OTHER:em này
Huawei P20 Pro ko lấy quà giá sào v b, mình ở hcm;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:ko lấy quà giá|PHONE:Huawei P20 Pro
Điện thoại này không lấy quà hôm nay giá còn bao nhiêu vậy ?;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:không lấy quà
Điện thoại còn hàng ở tp hồ chí minh không ạ;hoi_con_hang;LOCATION:hồ chí minh
Nay trả góp s v a/c;hoi_tra_gop;IS_NEEDED:trả góp s v
Đt này giá bao nhiu ạ;hoi_gia;OTHER:giá bao nhiu
Đt này khu vực tphcm còn màu đen ko shop;hoi_con_hang;LOCATION:tphcm|COLOR:đen
Hà Nội còn không bạn nhỉ?;hoi_con_hang;LOCATION:Hà Nội
cho em xin giá trừ quà;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:trừ quà
Lúc trước thấy con này được bảo hành rơi vỡ màn hình 3 tháng, bảo hành tận nhà luôn, giờ còn được áp dụng không shop ơi;hoi_bao_hanh;IS_BROKEN_GLASS:rơi vỡ màn hình
Cho mình xin giá đã trừ quà, ;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:trừ quà
Cho anh xin giá sau trừ quà nha !;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:trừ quà
Em muốn mua trả góp thì như thế nào! và trừ quà đi có trừ vào giá máy không ạ! Có gì liên hệ cho em biết với ạ;hoi_tra_gop;IS_NEEDED:mua trả góp
Giá trừ quà còn bao nhiêu shop;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:Giá trừ quà
cho mình hỏi trừ quà sp còn bao nhiêu vậy shop;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:trừ quà
Trừ quà giá sản phẩm còn bao nhiêu ạ?;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:trừ quà 
 Giá sau khi trừ hết quà bao nhiêu ạ;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:trừ hết quà 
Trừ quà còn bao nhiêu ạ?;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:Trừ quà 
Phương  tư vấn mình giá sau khi trừ hết quà nhé;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:trừ hết quà 
Trừ quà còn bao nhiêu tiền shop ơi?;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:Trừ quà 
ben go vap con hang ko zenfon max pro ma mau bac;hoi_con_hang;LOCATION:go vap|PHONE:zenfon max pro|COLOR:bac
giá sản phẩm?;hoi_gia;OTHER:giá sản phẩm
Phiếu mua hàng có được trừ vào giá sản phẩm luôn không ạ?;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:trừ vào giá sản phẩm
Em muốn mua mà chả thấy giá ;hoi_gia;OTHER:mua mà chả thấy giá
vay o bình dương có chi nhánh k AD;hoi_dia_chi;LOCATION:bình dương
chưa có hàng về ha ad;hoi_khi_nao;OTHER:hàng về
và shop có cho trả tiền bằng thẻ ngân hàng không ạ?;hoi_tra_gop;IS_SUPPORTED_BUYING_THROUGH_CREDIT:trả tiền bằng thẻ
Còn hàng full box nguyên seal ko shop;hoi_nguon_hang;IS_BRAND_NEW_OR_LIKE_NEW:full box nguyên seal
ở đồng tháp có bán không ạ;hoi_con_hang;LOCATION:đồng tháp
chơi game đc ko;hoi_nhu_cau;IS_FINE_WHILE_PLAYING:chơi game đc
hàng này là hàng mới nguyên siêu à;hoi_nguon_hang;IS_BRAND_NEW_OR_LIKE_NEW:hàng mới
Xin chào! Em ở TPHCM có thì có thể mua dòng điện thoại này ở chi nhánh nào ạ?;hoi_dia_chi;LOCATION:TPHCM
Chào Ad. Em muốn mua trả góp qua hình thức trả góp qua thẻ tín dụng của ngân hàng Maritime Bank thì cần phải làm những thủ tục và giấy tờ gì. Và khi lấy máy phải trả trước bao nhiêu tiền ạ. Tks Ad.;hoi_tra_gop;IS_SUPPORTED_BUYING_THROUGH_CREDIT:trả góp qua thẻ tín dụng
E ở bình thuận mua trả góp 30% có chuyển máy đến ko ạ ;hoi_tra_gop;IS_NEEDED:trả góp 30%|LOCATION:bình thuận
nếu mua trả góp thì mình đưa trước bao nhiêu phần trăm vậy ac;hoi_tra_gop;IS_NEEDED:mua trả góp
Ở vũng tàu có chi nhánh k ạ;hoi_dia_chi;LOCATION:vũng tàu
Con này có ở bắc ninh ko ạ;hoi_dia_chi;LOCATION:bắc ninh
Máy còn hàng ở của hàng ở Bình Dương ko. ;hoi_dia_chi;LOCATION:Bình Dương
con này chơi free fire mượt được ko anh;hoi_nhu_cau;GAME:free fire
Cho mình hỏi Max pro M1 4g có bán ở Cái Bè.Tiền Giang k ạ;hoi_dia_chi;PHONE:Max pro M1|RAM:4|LOCATION:Tiền Giang
Còn hàng k ad...minh ở càu diễn...shop có địa chỉ nao gàn khu vuc đó k;hoi_con_hang;LOCATION:càu diễn
co kiêu tra góp trước 0% hay 10%;hoi_tra_gop;IS_NEEDED:tra góp trước
Ad cho hỏi. Có hỗ trợ trả góp trả trước 0% ko ạ. Thủ tục cần cmnd+ bằng lái gốc và có cần số đt  hay gì khác ko ạ;hoi_tra_gop;IS_NEEDED:trả góp trả trước
bên mình có máy chưa kích họat không ạ?;hoi_nguon_hang;IS_BRAND_NEW_OR_LIKE_NEW:chưa kích họat
Giá bao nhiêu ạ;hoi_gia;OTHER:bao nhiêu
bao giờ nhập tiếp màu đen ạ?;hoi_khi_nao;COLOR:đen
hết màu đen rồi ạ?;hoi_con_hang;COLOR:đen
sản phẩm này còn hàng ở chi nhánh nào ở tphcm ạ?;hoi_dia_chi;LOCATION:tphcm
Sản phẩm này còn hàng k ạ ?;hoi_con_hang;OTHER:còn hàng
năm 2019 em mua năm 2019 em mua được không ? Hàng lúc đó có giảm giá không ạ ? Em mong lúc đấy ở Hà Nội còn hàng ạ /__\;hoi_khuyen_mai;WHEN_END_SALE_OFF:năm 2019 em mua
Máy sẵn tiếng việt chưa shop, mình ở cao bằng shop có ship ko? Và phí ship là bnh ạ?;hoi_phan_mem;IS_VIETNAMESE_INSTALLED:tiếng việt
có chạy tiếng việt không ạ;hoi_phan_mem;IS_VIETNAMESE_INSTALLED:tiếng việt
Còn ap ở HN ko shop, cả cũ,mới;hoi_con_hang;LOCATION:HN
mình ở đông anh hà nội, phiền shop xem hộ mình còn hàng k?;hoi_con_hang;LOCATION:đông anh
Bạn oi ở Khương Đình Hà Nội có mầu xanh không?;hoi_con_hang;LOCATION:Khương Đình|COLOR:xanh
Hết hàng rồi hả shop ? ;hoi_con_hang;OTHER:Hết hàng rồi
Ko có bản 64 gb ạ;hoi_con_hang;ROM:64
hàng này còn ko;hoi_con_hang;OTHER:còn ko
cho e hỏi là mua tại shop có ưu đãi gì k nhỉ?;hoi_khuyen_mai;SALE_OFF_GIFF:ưu đãi gì k
Shop ơi hỏi tý, có màu đen không ạ ? Mình ở Hà Nội;hoi_con_hang;LOCATION:Hà Nội|COLOR:đen
Cho e hoi hang nay la xuất xứ từ đâu;hoi_nguon_hang;OTHER:xuất xứ
có tiếng việt k ;hoi_phan_mem;IS_VIETNAMESE_INSTALLED:có tiếng việt
Còn màu đen không ạ;hoi_con_hang;COLOR:đen
Hiện tại máy này thường có ở những cửa hàng nào vậy;hoi_con_hang;OTHER:thường có ở
cho em xin giá trừ quà;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:trừ quà
Lúc trước thấy con này được bảo hành rơi vỡ màn hình 3 tháng, bảo hành tận nhà luôn, giờ còn được áp dụng không shop ơi;hoi_bao_hanh;IS_BROKEN_GLASS:rơi vỡ màn hình
Cho mình xin giá đã trừ quà,;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:đã trừ quà
Cho anh xin giá sau trừ quà nha!;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:sau trừ quà
Cho e xin gia sau khi tru qua.;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:sau khi tru qua
Em muốn mua trả góp thì như thế nào! và trừ quà đi có trừ vào giá máy không ạ! Có gì liên hệ cho em biết với ạ;hoi_tra_gop;IS_NEEDED:mua trả góp
Giá trừ quà còn bao nhiêu shop;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:Giá trừ quà
cho mình hỏi trừ quà sp còn bao nhiêu vậy shop;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:trừ quà sp
Trừ quà giá sản phẩm còn bao nhiêu ạ?;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:Trừ quà
 Giá sau khi trừ hết quà bao nhiêu ạ;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:sau khi trừ hết quà
Trừ quà còn bao nhiêu ạ?;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:Trừ quà
Phương  tư vấn mình giá sau khi trừ hết quà nhé;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:trừ hết quà
Trừ quà còn bao nhiêu tiền shop ơi?;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:Trừ quà
cho dia chi cu the mai minh qua mua;hoi_dia_chi;OTHER:qua mua
ben go vap con hang ko zenfon max pro ma mau bac;hoi_con_hang;LOCATION:go vap|PHONE:zenfon max pro|COLOR:bac
giá sản phẩm?;hoi_gia;OTHER:giá sản phẩm
Phiếu mua hàng có được trừ vào giá sản phẩm luôn không ạ?;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:trừ vào giá
Em muốn mua mà chả thấy giá;hoi_gia;OTHER:muốn mua
chưa có hàng về ha ad;hoi_khi_nao;OTHER:chưa có hàng
và shop có cho trả tiền bằng thẻ ngân hàng không ạ?;hoi_tra_gop;IS_SUPPORTED_BUYING_THROUGH_CREDIT:bằng thẻ ngân hàng
Còn hàng full box nguyên seal ko shop;hoi_nguon_hang;IS_BRAND_NEW_OR_LIKE_NEW:full box nguyên seal
ở đồng tháp có bán không ạ;hoi_con_hang;LOCATION:đồng tháp
chơi game đc ko;hoi_nhu_cau;IS_FINE_WHILE_PLAYING:game đc ko
hàng này là hàng mới nguyên siêu à;hoi_nguon_hang;IS_BRAND_NEW_OR_LIKE_NEW:hàng mới
Xin chào! Em ở TPHCM có thì có thể mua dòng điện thoại này ở chi nhánh nào ạ?;hoi_dia_chi;LOCATION:TPHCM
Chào Ad. Em muốn mua trả góp qua hình thức trả góp qua thẻ tín dụng của ngân hàng Maritime Bank thì cần phải làm những thủ tục và giấy tờ gì. Và khi lấy máy phải trả trước bao nhiêu tiền ạ. Tks Ad.;hoi_tra_gop;IS_NEEDED:mua trả góp
nếu mua trả góp thì mình đưa trước bao nhiêu phần trăm vậy ac;hoi_tra_gop;IS_NEEDED:mua trả góp
Ở vũng tàu có chi nhánh k ạ;hoi_dia_chi;LOCATION:vũng tàu
E ở sóc sơn bh mua khi nào hàng đến;hoi_khi_nao;LOCATION:sóc sơn
Con này có ở bắc ninh ko ạ;hoi_con_hang;LOCATION:bắc ninh
Máy còn hàng ở của hàng ở Bình Hưng ko.;hoi_con_hang;LOCATION:Bình Hưng
Cho mình hỏi Max pro M1 4g có bán ở Cái Bè.Tiền Giang k ạ;hoi_con_hang;PHONE:Max pro M1|RAM:4|LOCATION:Tiền Giang
co kiêu tra góp trước 0% hay 10% ;hoi_tra_gop;IS_NEEDED:góp trước
Ad cho hỏi. Có hỗ trợ trả góp trả trước 0% ko ạ. Thủ tục cần cmnd+ bằng lái gốc và có cần số đt  hay gì khác ko ạ;hoi_tra_gop;IS_NEEDED:trả góp trả trước
bao giờ nhập tiếp màu đen ạ?;hoi_khi_nao;COLOR:đen
hết màu đen rồi ạ?;hoi_con_hang;COLOR:đen
sản phẩm này còn hàng ở chi nhánh nào ở tphcm ạ?;hoi_con_hang;LOCATION:tphcm
mình ở đông anh hà nội, phiền shop xem hộ mình còn hàng k?;hoi_con_hang;LOCATION:đông anh
Bạn oi ở Khương Đình Hà Nội có mầu xanh không?;hoi_con_hang;LOCATION:Khương Đình|COLOR:xanh
Hết hàng rồi hả shop ? ;hoi_con_hang;OTHER:Hết hàng rồi hả
Ko có bản 64 gb ạ;hoi_con_hang;ROM:64
hàng này còn ko;hoi_con_hang;OTHER:còn ko
cho e hỏi là mua tại shop có ưu đãi gì k nhỉ?;hoi_khuyen_mai;SALE_OFF_GIFF:ưu đãi gì
Shop ơi hỏi tý, có màu đen không ạ ? Mình ở Hà Nội;hoi_con_hang;LOCATION:Hà Nội|COLOR:đen
Còn màu đen không ạ;hoi_con_hang;COLOR:đen
có màu đen ko ạ;hoi_con_hang;COLOR:đen
Có tiếng việt đúng không shop?;hoi_phan_mem;IS_VIETNAMESE_INSTALLED:Có tiếng việt
Cho em hỏi máy ở cửa hàng 59 Quang Trung còn hàng k ạ;hoi_con_hang;LOCATION:Quang Trung
Quy nhơn có chi nhánh không anh, nếu không thì chi nhánh nào gần nhất ạ...;hoi_dia_chi;LOCATION:Quy nhơn
Cửa hành ở Quốc lộ 50 huyện bình chánh còn không ad;hoi_con_hang;LOCATION:bình chánh
hai phong con k ad...ban o cho nao vay;hoi_con_hang;LOCATION:hai phong
Máy có tiếng việt không ad?;hoi_phan_mem;IS_VIETNAMESE_INSTALLED:tiếng việt
Máy dùng chưa đến 2 tháng cellphones có hỗ trợ nhập lại không ? Nếu có nhập lại thì chính sách thế nào ??;hoi_doi_cu_lay_moi;OTHER:hỗ trợ nhập lại
Dòng này có trả góp không ? chính sách giá, thủ tục như thế nào ?;hoi_tra_gop;OTHER:có trả góp
Dòng này có trả góp kh;hoi_tra_gop;OTHER:có trả góp
còn màu đen không ?;hoi_con_hang;COLOR:đen
Cell Phone ở Quốc lộ 50 còn máy không;hoi_con_hang;LOCATION:Quốc lộ 50
hà Nam Phủ lý còn ko;hoi_con_hang;LOCATION:hà Nam
hung yen co chi nhanh nao ko ;hoi_dia_chi;LOCATION:hung yen
CS Nguyễn Khánh Toàn còn sp này ko ạ?;hoi_con_hang;LOCATION:Nguyễn Khánh Toàn
O thu duc con 6a ko;hoi_con_hang;LOCATION:thu duc|PHONE:6a
Cửa hàng ở Âu cơ có ko ạ;hoi_con_hang;LOCATION:Âu cơ
Còn hàng ở hcm ko ạ;hoi_con_hang;LOCATION:hcm
Máy chơi game mượt không a;hoi_nhu_cau;IS_FINE_WHILE_PLAYING:game mượt không
Hà nội còn hàng ở đâu vậy shop;hoi_con_hang;LOCATION:Hà nội
giá máy sony xa1 plus. Ở 4B Cộng Hoà, P. 4, Q. Tân Bình được không ạ. Em mua hàng trước ngày 29/11/2018;hoi_gia;PHONE:sony xa1 plus|LOCATION:Cộng Hoà|LOCATION:Tân Bình
ở sài gòn mặt hàng này còn ko ạ??;hoi_con_hang;LOCATION:sài gòn
Cho hỏi, hàng nầy đã sử dụng hay nguyên hộp vậy shop;hoi_nguon_hang;IS_BRAND_NEW_OR_LIKE_NEW:đã sử dụng
Shop còn hàng không ạ;hoi_con_hang;OTHER:còn hàng không
Cho mình hỏi sản phẩm này còn hàng không ạ ?;hoi_con_hang;OTHER:còn hàng không
Trả góp bằng thẻ tín dụng VP bank, thì trả trước bao nhiêu ạ?;hoi_tra_gop;IS_SUPPORTED_BUYING_THROUGH_CREDIT:thẻ tín dụng
khi nào có hàng v shop;hoi_khi_nao;OTHER:nào có hàng
Khi nào mới có hàng vậy ạ? E muốn mua 1 chiếc xa1 plus nên shop có thể cho e biết chi tiết khi nào có hàng lại không ạ?;hoi_khi_nao;PHONE:xa1 plus
Còn hàng ko vay;hoi_con_hang;OTHER:hàng ko
còn hàng không shop;hoi_con_hang;OTHER:hàng không
Còn hàng ko ạ;hoi_con_hang;OTHER:hàng ko
cho e hỏi hà nội còn hàng k ạ;hoi_con_hang;LOCATION:hà nội
HCM còn hàng không ad?;hoi_con_hang;LOCATION:HCM
XA1 còn màu vàng k ad;hoi_con_hang;PHONE:XA1|COLOR:vàng
Còn hàng mẫu xanh kg;hoi_con_hang;COLOR:xanh
Khi vực TP.HCM có hàng mới màu đen không vậy ạ;hoi_con_hang;LOCATION:TP.HCM|COLOR:đen
Khu vực Hà Nội có hàng chưa shop;hoi_khi_nao;LOCATION:Hà Nội
Hcm còn  Hàn  ko ạk;hoi_con_hang;LOCATION:Hcm
ở trên web ghi địa chỉ 4B cộng hòa ở TPHCM có còn hàng ko ạ ?? sao em thấy để còn hàng;hoi_con_hang;LOCATION:cộng hòa
CÒN K SHOP ƠI, CÒN THÌ Ở ĐỊA CHỈ NÀO ĐANG BÁN SHOP;hoi_dia_chi;OTHER:CÒN K SHOP
cho minh hoi da kich hoat la van moi nguyen hay ntn ạ;hoi_nguon_hang;IS_BRAND_NEW_OR_LIKE_NEW:da kich hoat
Còn hàng ko shop?;hoi_con_hang;OTHER:Còn hàng ko
còn máy ko ad;hoi_con_hang;OTHER:còn máy ko
Máy còn màu đen không ạ. E ở hcm;hoi_con_hang;COLOR:đen|LOCATION:hcm
Còn phiên bản màu khác không ak;hoi_con_hang;WHAT_ELSE_COLOR:màu khác
chơi đc pubg ko vậy;hoi_nhu_cau;GAME:pubg
con hang ko ad o tren;hoi_con_hang;OTHER:con hang ko
còn hàng tại tphcm k ạ;hoi_con_hang;LOCATION:tphcm
Giạ còn máy này màu đen không ạ tư vấn cho mình với. Mình ở hcm. Sdt;hoi_con_hang;COLOR:đen
sao mk thấy rẻ hơn ở thế giói di đọng và fpt shop liệu máy có phải chính hãng k ạ;hoi_nguon_hang;WHAT_FROM_TYPE:phải chính hãng
hàng còn về ko ạ ??;hoi_khi_nao;OTHER:còn về ko
Giờ sản phẩm còn về k hay chấm dứt hàng lun rồi ạ e còn biết chờ;hoi_khi_nao;OTHER:còn về k hay chấm dứt
Chừng nào sản phẩm này về lại ạ?;hoi_khi_nao;OTHER:về lại
Còn hàng k shop;hoi_con_hang;OTHER:Còn hàng k
Máy hiện dag ở cửa hàng nào vậy;hoi_dia_chi;OTHER:cửa hàng nào
ngoài màu gold còn màu khác không shop;hoi_con_hang;WHAT_ELSE_COLOR:còn màu khác
shop đây là máy mới hay là đã qua sử dụng ạ;hoi_nguon_hang;IS_BRAND_NEW_OR_LIKE_NEW:mới hay là
Cho mình hỏi chương trình không nhận quà mà đc giảm tiền kéo dài bao lâu vậy;hoi_khuyen_mai;WHEN_END_SALE_OFF:kéo dài bao lâu
Màu đỏ ở Bạch Mai còn hàng không ạ? Không lấy hàng khuyến mãi vs chuyển về nhà là giá bao nhiêu? Có cường lực hay ốp kèm k ạ;hoi_con_hang;LOCATION:Bạch Mai
Không lây quà thi gia may con bao nhiêu vay shop;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:Không lây quà
quà không biết có km đến mùng 2/12 không nhỉ;hoi_khuyen_mai;WHEN_END_SALE_OFF:km đến
Shop cho e hỏi bộ quà tặng gồm những gì ạ?;hoi_khuyen_mai;SALE_OFF_GIFF:bộ quà tặng
Shop cho e hỏi k lấy bộ quà 2,2triệu thì giá máy giảm còn bao nhiêu vậy ạ ?;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:k lấy bộ quà
Cho hỏi không lấy quà có đc trừ tiền không,mình muốn mua trả góp qua hd sài gon thì cần gì;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:không lấy quà
Mua trả góp qua thẻ thì mỗi tháng bn tiền b?;hoi_tra_gop;IS_NEEDED:Mua trả góp
Nova 3 9.490.000 tru tay nghe con bao nhieu ad;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:tru tay nghe
Nếu em ko nhận qùa có đc giảm gía ko ạ;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:ko nhận qùa
còn hàng ở hcm ko ad;hoi_con_hang;LOCATION:hcm
nova 3 có màu xanh ko ;hoi_con_hang;PHONE:nova 3|COLOR:xanh
Hết hàng màu tím rồi phải ko ạ;hoi_con_hang;COLOR:tím
Quà 2 triệu trừ quà giá còn bao nhiêu vậy ạ;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:trừ quà giá còn
cho t hỏi chương trình khuyến mại TAI NGHE OVER-EAR JBL T450BT kéo dài đến khi nào.Bây h còn được khuyến mại pin dự phòng k;hoi_khuyen_mai;WHEN_END_SALE_OFF:kéo dài đến khi nào
Liên hệ giá ko nhận quà nhé;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:giá ko nhận quà
Hôm trước hỏi nv bảo 8tr790 mà hôm nay lại 8tr990;hoi_gia;OTHER:hỏi nv bảo
cho mình hỏi nếu không lấy quà thì có được trừ vào sp không;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:được trừ vào sp
nova 3 còn hàng ở cửa hàng nào ạ?;hoi_dia_chi;PHONE:nova 3
Khi nào có bản màu đen hay màu vàng vậy shop;hoi_khi_nao;COLOR:đen
Ko lấy quà tặng thì giá còn bao nhiêu ạ ??;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:Ko lấy quà
Quận 7 có hàng nova 3 ko ạ, ra mua trực tiềp vẩn dc kmãi bt fải ko ạ , hàng mới 100% ko ạ ??;hoi_con_hang;PHONE:nova 3|LOCATION:Quận 7
Hiện tại máy đang giảm giá phải ko ạ , có khuyến mãi gì ko , nếu ko lấy quà thì có dc trừ tiền vào giá sản phẩm ko ạ ????;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:ko lấy quà
Máy bắn pubg có mượt ko ạ;hoi_nhu_cau;GAME:pubg
QTV ơi cho mình hỏi nếu như mua tại cửa hàng thì có tặng quà và PMH ko ạ?;hoi_khuyen_mai;SALE_OFF_GIFF:có tặng quà
Hi shop! cho e hỏi mua trả góp có đc nhận thêm km 1tr và Tai phone ko?;hoi_khuyen_mai;SALE_OFF_GIFF:nhận thêm km
cho em hỏi nếu k nhận quà thì tổng tiền e phải trả là nhiêu v ạ ;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:k nhận quà
Qua 3 trieu co duoc tru thang vao gia san pham khong a;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:tru thang vao gia
cho e hỏi, nếu mua trả góp sp này thì trả trước tối thiểu bao nhiêu ạ, trong 12 tháng thì mỗi tháng bao nhiêu ạ.;hoi_tra_gop;IS_NEEDED:mua trả góp
cho em hỏi chi phí trả góp hàng tháng sau khi trừ PMH với không lấy quà tặng là bao nhiêu vậy. gói trả góp 0% Homecredit;hoi_tra_gop;IS_NEEDED:phí trả góp
Tặng tai nghe với PMH 1 triệu à;hoi_khuyen_mai;SALE_OFF_GIFF:Tặng tai nghe
Shop ơi. Dc tặng PHM 1tr rồi cộng thêm tai nghe blt thì dc giảm nữa ko shop;hoi_khuyen_mai;SALE_OFF_GIFF:dc giảm nữa
Mua k lấy quà giá bao nhiêu ạ;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:k lấy quà
dòng này có thể đặt màu vàng được ko ạ?;hoi_con_hang;COLOR:vàng
Máy này có chống nước không;hoi_phan_cung;IS_WATER_PROTECTED:chống nước
HI shop, dòng này còn màu đỏ không ạ?;hoi_con_hang;COLOR:đỏ
Cho e hỏi nếu mua online và ko nhận quà thì dc trừ bao nhiêu tiền vào giá sản phẩm ạ;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:ko nhận quà
hiện tại máy có mấy màu vậy ạ?;hoi_con_hang;WHAT_ELSE_COLOR:có mấy màu
Trả góp qua thẻ tín dụng thì hồ sơ cần những gì ah? Số tiền cần trả trc tối thiểu bn ạ?;hoi_tra_gop;IS_SUPPORTED_BUYING_THROUGH_CREDIT:qua thẻ tín dụng
Mình muốn mua máy trả góp qua công ty tài chính, tư vấn cho mình khoản trả trước và góp hàng tháng, mình ở hà nội;hoi_tra_gop;LOCATION:hà nội|IS_NEEDED:mua máy trả góp
giá đó đã bao gồm VAT chưa ạ?;hoi_gia;IF_INCLUDE_TAX:gồm VAT
Có trả góp 30 phần trăm ko trả góp nhiêu tháng;hoi_tra_gop;IS_NEEDED:Có trả góp
Máy này là đã qua sử dụng chưa vậy?;hoi_nguon_hang;IS_BRAND_NEW_OR_LIKE_NEW:đã qua sử dụng chưa
Mình muốn mua iphone X 64GB máy LL/A mới, không biết ở TP.HCM của hang nào còn vậy ad;hoi_dia_chi;PHONE:Iphone X|ROM:64|CODE:LL/A|LOCATION:TP.HCM
Đây là máy mới đầy đủ tai nghe cáp sạc k ạ?;hoi_nguon_hang;IS_BRAND_NEW_OR_LIKE_NEW:là máy mới
Khi dang ki nhan bang tin tu cellphone thi mua dien thoai co dc giam 10% k ad?;hoi_khuyen_mai;IS_SALE_OFF:mua dien thoai co dc giam
Giá tiền này có bao gồm tai nghe không dây chưa ạ;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:có bao gồm
Ở phan đăng lưu còn hàng không ạ;hoi_con_hang;LOCATION:phan đăng lưu
Xin thủ tục trả góp qua công ty tài chính ;hoi_tra_gop;IS_NEEDED:thủ tục trả góp
Đây là máy mới tinh à shop. ;hoi_nguon_hang;IS_BRAND_NEW_OR_LIKE_NEW:máy mới tinh à
Còn hàng CPO tại q9 hok shop .;hoi_con_hang;LOCATION:q9
hiện tại cellphone q9 coa màu bạc giá 22tr ko shop?;hoi_con_hang;LOCATION:q9|COLOR:bạc|MONEY:22tr
phiên bản màu bạc ở ngoài hà nội còn chỗ nào có và giá là bao nhiêu vậy shop ?;hoi_dia_chi;LOCATION:hà nội
Ở TPHCM, cửa hàng Nguyễn Thị Thập còn hàng Bản IPX 64gb màu đen LL/A không ạ? Giá cả thế nào shop?;hoi_con_hang;LOCATION:TPHCM|LOCATION:Nguyễn Thị Thập|PHONE:IPX|ROM:64|COLOR:đen|CODE:LL/A
Ở HN còn cửa hàng nào có mã LL/A k ạ;hoi_dia_chi;LOCATION:HN|CODE:LL/A
cho mình hỏi Bình Thạnh có hàng LL/A k ?;hoi_dia_chi;LOCATION:Bình Thạnh|CODE:LL/A
Cho mình hỏi ipX 64gb ở Thái Hà có hàng LL/A ko nhỉ?;hoi_con_hang;LOCATION:Thái Hà|PHONE:ipX|ROM:64|CODE:LL/A
sản phẩm này còn ở 543 Nguyễn Trãi, P. Thanh Xuân Nam, Q. Thanh Xuân k ạ;hoi_con_hang;LOCATION:Nguyễn Trãi|LOCATION:Thanh Xuân Nam|LOCATION:Thanh Xuân
cho mình hỏi trả góp iphone x 64gb thì mình thanh toán trước bao nhiêu % vậy ah;hoi_tra_gop;PHONE:iphone x|ROM:64|IS_NEEDED:hỏi trả góp
283 Hồ Tùng Mậu - Nam Từ Liêm còn hàng không ạ;hoi_con_hang;LOCATION:Hồ Tùng Mậu|LOCATION:Nam Từ Liêm
trả góp yêu cầu những gì và bn tuổi ?;hoi_tra_gop;IS_NEEDED:yêu cầu những gì
Bao h shop ở Thái Hà có hàng vậy ad ?;hoi_khi_nao;LOCATION:Thái Hà
mình có ip 7 plus 128GB, muốn đổi sang ipX 256GB thì phải bù thêm bao nhiêu nữa?;hoi_doi_cu_lay_moi;PHONE:ip 7 plus|ROM:128|PHONE:ipX|ROM:256
